iter	Passed	Remaining
0	168	168672
1	177	88536
2	184	61372
3	192	47860
4	200	39859
5	207	34394
6	215	30523
7	223	27755
8	232	25582
9	239	23689
10	246	22157
11	253	20909
12	261	19854
13	268	18877
14	274	18050
15	281	17340
16	289	16712
17	295	16139
18	302	15634
19	310	15193
20	317	14779
21	324	14414
22	330	14055
23	337	13743
24	344	13433
25	352	13204
26	359	12953
27	366	12726
28	373	12519
29	381	12321
30	388	12150
31	397	12019
32	405	11870
33	413	11747
34	420	11595
35	428	11460
36	435	11337
37	443	11232
38	452	11152
39	460	11047
40	467	10935
41	475	10841
42	482	10747
43	490	10667
44	499	10593
45	507	10516
46	515	10442
47	522	10363
48	529	10283
49	537	10216
50	546	10160
51	553	10096
52	561	10029
53	569	9970
54	577	9926
55	586	9880
56	593	9827
57	602	9783
58	609	9728
59	617	9676
60	625	9625
61	632	9574
62	640	9525
63	647	9475
64	656	9436
65	664	9398
66	671	9352
67	678	9304
68	686	9266
69	694	9226
70	702	9189
71	709	9147
72	717	9105
73	724	9072
74	732	9031
75	739	8993
76	747	8957
77	754	8916
78	763	8895
79	771	8874
80	779	8847
81	788	8823
82	796	8800
83	804	8773
84	812	8745
85	820	8718
86	828	8693
87	836	8664
88	843	8629
89	850	8598
90	858	8571
91	866	8547
92	873	8523
93	882	8502
94	890	8482
95	899	8470
96	907	8443
97	915	8421
98	922	8397
99	930	8371
100	937	8346
101	945	8320
102	952	8294
103	959	8269
104	968	8255
105	976	8236
106	984	8214
107	991	8189
108	999	8168
109	1006	8142
110	1014	8121
111	1021	8097
112	1028	8075
113	1036	8053
114	1044	8034
115	1051	8010
116	1059	7993
117	1066	7972
118	1074	7952
119	1082	7936
120	1090	7919
121	1097	7894
122	1104	7873
123	1112	7856
124	1119	7839
125	1127	7819
126	1135	7805
127	1143	7788
128	1151	7771
129	1159	7756
130	1167	7747
131	1175	7728
132	1182	7709
133	1190	7692
134	1197	7674
135	1205	7657
136	1213	7643
137	1220	7624
138	1227	7606
139	1235	7590
140	1244	7582
141	1252	7566
142	1259	7549
143	1266	7531
144	1274	7513
145	1281	7497
146	1289	7481
147	1297	7468
148	1305	7455
149	1313	7441
150	1320	7425
151	1328	7412
152	1336	7399
153	1345	7389
154	1352	7373
155	1360	7360
156	1367	7345
157	1376	7333
158	1383	7316
159	1390	7301
160	1399	7290
161	1406	7278
162	1414	7263
163	1421	7248
164	1428	7231
165	1437	7219
166	1443	7202
167	1451	7190
168	1459	7177
169	1467	7164
170	1474	7149
171	1482	7138
172	1491	7128
173	1498	7113
174	1505	7097
175	1512	7083
176	1520	7069
177	1527	7055
178	1535	7044
179	1543	7029
180	1550	7017
181	1558	7005
182	1567	6996
183	1574	6983
184	1582	6972
185	1590	6959
186	1598	6948
187	1605	6934
188	1614	6926
189	1622	6916
190	1631	6908
191	1638	6896
192	1646	6885
193	1653	6871
194	1661	6860
195	1669	6848
196	1677	6836
197	1684	6821
198	1692	6811
199	1700	6801
200	1708	6791
201	1717	6783
202	1725	6775
203	1734	6768
204	1742	6758
205	1751	6749
206	1758	6737
207	1766	6728
208	1773	6713
209	1782	6704
210	1790	6694
211	1798	6684
212	1806	6673
213	1814	6665
214	1823	6657
215	1831	6646
216	1839	6638
217	1847	6627
218	1855	6616
219	1862	6604
220	1870	6594
221	1879	6585
222	1886	6573
223	1894	6564
224	1903	6556
225	1911	6545
226	1918	6534
227	1927	6525
228	1935	6516
229	1943	6505
230	1950	6494
231	1959	6485
232	1967	6475
233	1975	6466
234	1983	6456
235	1991	6446
236	1999	6436
237	2008	6429
238	2015	6417
239	2023	6408
240	2031	6398
241	2040	6390
242	2048	6381
243	2055	6369
244	2063	6357
245	2070	6346
246	2077	6334
247	2086	6325
248	2094	6315
249	2101	6305
250	2109	6293
251	2117	6284
252	2125	6274
253	2133	6265
254	2140	6254
255	2149	6245
256	2157	6237
257	2165	6228
258	2173	6219
259	2181	6208
260	2189	6198
261	2196	6186
262	2203	6175
263	2211	6164
264	2219	6156
265	2228	6148
266	2236	6139
267	2244	6130
268	2252	6121
269	2260	6110
270	2267	6100
271	2275	6089
272	2283	6081
273	2293	6075
274	2301	6067
275	2310	6060
276	2318	6052
277	2326	6042
278	2336	6037
279	2343	6026
280	2352	6019
281	2361	6011
282	2369	6002
283	2377	5993
284	2385	5983
285	2393	5974
286	2401	5965
287	2410	5958
288	2417	5947
289	2425	5937
290	2433	5929
291	2442	5922
292	2450	5912
293	2458	5904
294	2466	5893
295	2473	5883
296	2481	5874
297	2489	5865
298	2497	5854
299	2504	5844
300	2513	5837
301	2522	5829
302	2529	5818
303	2537	5810
304	2545	5799
305	2552	5788
306	2560	5780
307	2568	5770
308	2576	5762
309	2584	5753
310	2593	5746
311	2601	5736
312	2609	5727
313	2617	5719
314	2625	5709
315	2633	5700
316	2642	5693
317	2650	5685
318	2658	5675
319	2666	5666
320	2674	5656
321	2682	5647
322	2690	5638
323	2698	5630
324	2706	5621
325	2715	5613
326	2722	5603
327	2731	5595
328	2739	5586
329	2747	5577
330	2755	5569
331	2763	5560
332	2774	5557
333	2784	5551
334	2795	5548
335	2805	5544
336	2816	5540
337	2824	5532
338	2834	5527
339	2842	5518
340	2853	5513
341	2862	5507
342	2872	5501
343	2879	5491
344	2887	5482
345	2895	5473
346	2904	5465
347	2912	5457
348	2921	5450
349	2929	5441
350	2939	5435
351	2949	5430
352	2960	5426
353	2969	5418
354	2978	5411
355	2987	5404
356	2997	5398
357	3005	5389
358	3014	5382
359	3023	5374
360	3032	5367
361	3041	5360
362	3049	5352
363	3060	5348
364	3070	5341
365	3079	5333
366	3087	5324
367	3096	5317
368	3104	5308
369	3113	5300
370	3122	5294
371	3131	5286
372	3141	5280
373	3152	5276
374	3160	5267
375	3168	5258
376	3177	5250
377	3186	5243
378	3195	5235
379	3203	5226
380	3213	5220
381	3221	5211
382	3228	5201
383	3237	5192
384	3245	5184
385	3254	5177
386	3264	5170
387	3272	5161
388	3280	5152
389	3289	5144
390	3297	5136
391	3306	5128
392	3314	5119
393	3323	5111
394	3334	5106
395	3342	5098
396	3351	5090
397	3359	5080
398	3366	5071
399	3376	5064
400	3385	5057
401	3395	5050
402	3405	5044
403	3412	5034
404	3420	5025
405	3430	5018
406	3437	5009
407	3446	5000
408	3453	4990
409	3461	4981
410	3469	4972
411	3477	4962
412	3484	4953
413	3493	4944
414	3500	4934
415	3508	4924
416	3516	4916
417	3525	4908
418	3533	4899
419	3542	4891
420	3550	4882
421	3558	4874
422	3567	4865
423	3575	4857
424	3584	4849
425	3592	4841
426	3600	4831
427	3608	4822
428	3617	4814
429	3625	4805
430	3632	4795
431	3639	4785
432	3648	4777
433	3657	4769
434	3665	4760
435	3673	4752
436	3681	4742
437	3688	4732
438	3696	4724
439	3705	4715
440	3713	4707
441	3722	4699
442	3730	4689
443	3739	4682
444	3748	4675
445	3757	4666
446	3765	4658
447	3774	4650
448	3781	4640
449	3790	4632
450	3798	4623
451	3805	4614
452	3813	4605
453	3821	4596
454	3829	4587
455	3837	4578
456	3845	4569
457	3854	4561
458	3862	4552
459	3871	4544
460	3879	4535
461	3887	4526
462	3894	4517
463	3902	4508
464	3910	4499
465	3919	4491
466	3927	4482
467	3935	4474
