iter	Passed	Remaining
0	167	167382
1	175	87807
2	184	61191
3	192	47908
4	200	39873
5	207	34394
6	215	30513
7	223	27685
8	230	25377
9	237	23556
10	245	22037
11	252	20795
12	259	19724
13	266	18781
14	273	17946
15	280	17226
16	287	16599
17	293	16026
18	300	15512
19	307	15057
20	314	14639
21	320	14252
22	327	13903
23	334	13606
24	341	13310
25	348	13054
26	355	12815
27	363	12610
28	369	12384
29	376	12188
30	384	12005
31	391	11837
32	398	11687
33	405	11533
34	412	11379
35	420	11252
36	427	11116
37	434	10995
38	441	10872
39	447	10749
40	455	10646
41	462	10541
42	468	10434
43	475	10330
44	482	10238
45	489	10143
46	496	10070
47	504	10014
48	511	9924
49	517	9841
50	524	9761
51	531	9687
52	537	9612
53	545	9555
54	552	9486
55	559	9427
56	566	9365
57	573	9310
58	580	9250
59	586	9195
60	593	9138
61	600	9082
62	607	9032
63	614	8982
64	621	8944
65	628	8895
66	635	8848
67	642	8810
68	649	8765
69	656	8726
70	663	8685
71	670	8643
72	677	8605
73	685	8574
74	692	8537
75	700	8520
76	707	8485
77	715	8453
78	721	8417
79	729	8385
80	736	8355
81	743	8322
82	750	8290
83	757	8261
84	765	8237
85	772	8208
86	779	8182
87	787	8156
88	793	8126
89	801	8103
90	808	8075
91	815	8049
92	823	8026
93	830	8002
94	837	7980
95	844	7955
96	852	7931
97	858	7905
98	865	7880
99	872	7854
100	879	7829
101	887	7812
102	894	7792
103	902	7773
104	910	7764
105	918	7746
106	926	7731
107	933	7713
108	940	7691
109	948	7672
110	955	7652
111	962	7632
112	969	7613
113	977	7600
114	984	7578
115	991	7559
116	998	7538
117	1006	7522
118	1013	7502
119	1021	7487
120	1027	7466
121	1035	7449
122	1042	7430
123	1049	7414
124	1056	7398
125	1063	7379
126	1070	7361
127	1078	7346
128	1086	7332
129	1093	7320
130	1100	7302
131	1108	7287
132	1115	7272
133	1123	7260
134	1129	7239
135	1137	7223
136	1144	7208
137	1151	7191
138	1158	7173
139	1165	7159
140	1172	7143
141	1180	7130
142	1187	7117
143	1194	7101
144	1202	7087
145	1209	7076
146	1216	7060
147	1223	7043
148	1231	7030
149	1238	7016
150	1247	7016
151	1257	7013
152	1264	6997
153	1271	6982
154	1278	6967
155	1285	6953
156	1292	6937
157	1298	6921
158	1305	6907
159	1312	6892
160	1320	6879
161	1329	6875
162	1336	6862
163	1343	6847
164	1349	6831
165	1357	6818
166	1364	6804
167	1371	6790
168	1378	6779
169	1385	6766
170	1392	6751
171	1399	6737
172	1406	6722
173	1413	6711
174	1421	6699
175	1428	6687
176	1435	6673
177	1442	6659
178	1449	6646
179	1455	6632
180	1463	6620
181	1470	6609
182	1477	6595
183	1484	6583
184	1491	6570
185	1498	6559
186	1505	6546
187	1512	6532
188	1519	6519
189	1526	6505
190	1532	6492
191	1539	6479
192	1546	6467
193	1554	6458
194	1561	6445
195	1568	6433
196	1575	6421
197	1582	6408
198	1589	6396
199	1596	6384
200	1603	6374
201	1611	6365
202	1619	6357
203	1626	6347
204	1633	6336
205	1641	6325
206	1648	6315
207	1655	6304
208	1662	6293
209	1670	6283
210	1677	6273
211	1685	6263
212	1692	6253
213	1700	6245
214	1708	6236
215	1715	6227
216	1723	6217
217	1730	6208
218	1738	6199
219	1746	6191
220	1754	6183
221	1761	6173
222	1768	6163
223	1775	6151
224	1783	6141
225	1790	6132
226	1797	6122
227	1805	6112
228	1812	6101
229	1819	6092
230	1827	6083
231	1834	6072
232	1841	6063
233	1849	6053
234	1857	6046
235	1864	6037
236	1873	6030
237	1880	6021
238	1887	6010
239	1894	5999
240	1901	5987
241	1908	5978
242	1915	5966
243	1922	5956
244	1929	5944
245	1936	5934
246	1942	5923
247	1949	5912
248	1957	5902
249	1964	5893
250	1972	5884
251	1979	5875
252	1987	5866
253	1994	5857
254	2001	5846
255	2008	5838
256	2016	5828
257	2023	5819
258	2030	5809
259	2037	5799
260	2044	5788
261	2051	5778
262	2058	5767
263	2064	5756
264	2071	5745
265	2078	5734
266	2085	5725
267	2092	5715
268	2099	5704
269	2106	5695
270	2113	5685
271	2120	5676
272	2128	5667
273	2135	5658
274	2142	5647
275	2150	5641
276	2157	5632
277	2164	5622
278	2171	5611
279	2178	5602
280	2185	5591
281	2192	5582
282	2199	5572
283	2206	5561
284	2213	5552
285	2220	5542
286	2227	5533
287	2234	5523
288	2240	5513
289	2248	5503
290	2255	5495
291	2262	5485
292	2269	5476
293	2276	5467
294	2284	5458
295	2292	5451
296	2299	5442
297	2306	5433
298	2313	5424
299	2320	5415
300	2327	5405
301	2334	5395
302	2341	5386
303	2348	5377
304	2356	5370
305	2364	5361
306	2371	5352
307	2378	5343
308	2385	5334
309	2392	5325
310	2399	5316
311	2407	5308
312	2413	5298
313	2420	5289
314	2428	5280
315	2435	5271
316	2442	5261
317	2448	5252
318	2455	5243
319	2462	5233
320	2469	5223
321	2476	5213
322	2483	5205
323	2490	5195
324	2497	5186
325	2504	5177
326	2510	5167
327	2517	5157
328	2524	5148
329	2530	5138
330	2537	5129
331	2544	5119
332	2551	5109
333	2558	5101
334	2565	5093
335	2573	5085
336	2580	5076
337	2587	5068
338	2595	5060
339	2602	5051
340	2609	5042
341	2616	5033
342	2623	5024
343	2630	5016
344	2637	5007
345	2644	4998
346	2651	4989
347	2659	4981
348	2665	4972
349	2672	4963
350	2679	4955
351	2687	4946
352	2694	4937
353	2702	4930
354	2709	4922
355	2716	4913
356	2724	4906
357	2731	4897
358	2737	4888
359	2745	4880
360	2752	4872
361	2759	4863
362	2766	4855
363	2774	4847
364	2781	4838
365	2788	4829
366	2794	4820
367	2801	4811
368	2808	4803
369	2815	4793
370	2822	4785
371	2830	4777
372	2838	4770
373	2845	4762
374	2852	4753
375	2859	4745
376	2866	4736
377	2873	4728
378	2880	4720
379	2887	4711
380	2894	4702
381	2901	4694
382	2908	4685
383	2915	4677
384	2922	4668
385	2929	4660
386	2936	4652
387	2944	4643
388	2951	4635
389	2958	4626
390	2965	4618
391	2972	4610
392	2980	4603
393	2987	4595
394	2994	4586
395	3002	4579
396	3009	4571
397	3016	4563
398	3023	4554
399	3031	4546
400	3038	4538
401	3045	4530
402	3053	4523
403	3060	4515
404	3068	4508
405	3075	4500
406	3083	4492
407	3090	4484
408	3097	4476
409	3104	4468
410	3112	4460
411	3120	4452
412	3127	4445
413	3134	4436
414	3142	4429
415	3149	4420
416	3156	4412
417	3163	4404
418	3170	4396
419	3177	4387
